Fighter_Name,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Height_in,Reach_in,Weight_lbs,Ape_Index,Weight_Class
Tristan Connelly,Orthodox,1985-12-12,14,8,0,3.31,0.51,2.96,0.5,0.33,0.14,0.6,0.3,70,68.0,145.0,-2.0,Featherweight
Amanda Cooper,Switch,1991-10-22,3,5,0,3.55,0.44,3.2,0.51,1.53,0.38,0.28,1.8,63,64.0,115.0,1.0,Flyweight
Chris Cope,Orthodox,1983-03-05,8,4,0,3.96,0.26,4.82,0.5,0.0,0.0,0.8,0.0,72,72.0,170.0,0.0,Welterweight
Michael Cora,Southpaw,1989-08-24,4,1,0,0.8,0.28,0.13,0.66,0.0,0.0,0.25,0.0,73,77.0,170.0,4.0,Welterweight
Akira Corassani,Orthodox,1982-08-27,12,6,0,3.25,0.45,4.91,0.5,0.7,0.28,0.86,0.0,68,68.0,145.0,0.0,Featherweight
Alden Coria,Orthodox,1998-04-24,12,3,0,4.69,0.44,2.4,0.69,1.75,0.5,0.71,0.0,68,67.0,125.0,-1.0,Flyweight
Daniel Cormier,Orthodox,1979-03-20,22,3,0,4.25,0.52,2.92,0.54,1.83,0.44,0.8,0.4,71,72.0,235.0,1.0,Heavyweight
Nora Cornolle,Orthodox,1989-12-06,9,4,0,2.73,0.55,2.04,0.56,0.22,0.11,0.47,0.2,67,67.0,135.0,0.0,Bantamweight
Bethe Correia,Orthodox,1983-06-22,11,6,1,4.37,0.43,4.93,0.56,0.39,0.18,0.85,0.0,65,64.0,135.0,-1.0,Bantamweight
Waldo Cortes Acosta,Orthodox,1991-10-03,17,2,0,5.54,0.49,3.38,0.56,0.44,0.57,0.72,0.1,76,78.0,260.0,2.0,Heavyweight
Tracy Cortez,Orthodox,1993-12-10,12,3,0,3.86,0.48,3.01,0.57,2.15,0.46,0.59,0.3,65,65.0,125.0,0.0,Flyweight
Reyes Cortez Jr.,Orthodox,1992-07-31,7,3,0,4.1,0.45,7.43,0.52,1.5,0.11,1.0,0.0,67,68.0,135.0,1.0,Bantamweight
Louis Cosce,Orthodox,1995-08-27,7,2,0,4.31,0.45,5.35,0.47,1.04,0.2,0.5,0.5,69,71.0,170.0,2.0,Welterweight
Orion Cosce,Switch,1994-07-15,8,2,0,2.77,0.53,4.02,0.44,1.92,0.4,0.61,0.0,71,71.0,170.0,0.0,Welterweight
Paulo Costa,Orthodox,1991-04-21,15,4,0,6.26,0.58,6.2,0.49,0.32,0.5,0.8,0.0,73,72.0,205.0,-1.0,Light Heavyweight
Randy Costa,Switch,1994-07-06,6,4,0,6.53,0.46,7.58,0.58,0.0,0.0,0.5,0.0,69,73.0,135.0,4.0,Bantamweight
Alessandro Costa,Orthodox,1996-01-28,14,5,0,3.64,0.44,3.57,0.57,0.46,0.16,0.83,0.5,64,67.0,125.0,3.0,Flyweight
Melquizael Costa,Southpaw,1996-09-14,26,7,0,4.38,0.49,2.97,0.54,2.0,0.4,0.58,1.1,70,71.0,145.0,1.0,Featherweight
Vitor Costa,Orthodox,2000-09-19,8,2,0,7.36,0.54,9.62,0.5,0.0,0.0,0.0,0.0,74,75.0,185.0,1.0,Middleweight
Oscar Cota,Orthodox,1984-10-15,11,3,0,0.33,0.41,2.47,0.41,0.0,0.0,0.6,1.0,72,72.0,230.0,0.0,Heavyweight
Patrick Cote,Orthodox,1980-02-29,23,11,0,2.81,0.48,3.21,0.48,0.68,0.2,0.43,0.2,71,75.0,170.0,4.0,Welterweight
Rashad Coulter,Orthodox,1981-11-27,9,4,0,4.82,0.56,6.68,0.5,0.0,0.0,0.62,0.0,71,76.0,205.0,5.0,Light Heavyweight
Randy Couture,Orthodox,1963-06-22,19,11,0,2.85,0.57,1.53,0.59,2.78,0.46,0.58,0.5,73,75.0,205.0,2.0,Light Heavyweight
Ryan Couture,Orthodox,1982-08-27,11,5,0,3.54,0.45,2.87,0.54,1.55,0.29,0.46,1.3,70,73.0,155.0,3.0,Lightweight
Colby Covington,Orthodox,1988-02-22,17,5,0,3.81,0.38,3.09,0.54,3.64,0.42,0.68,0.2,71,72.0,170.0,1.0,Welterweight
Hailey Cowan,Southpaw,1992-02-12,7,4,0,2.5,0.42,2.79,0.33,1.63,0.36,0.8,0.0,68,67.0,135.0,-1.0,Bantamweight
Nathan Coy,Southpaw,1978-07-24,15,7,0,3.88,0.52,2.4,0.61,3.17,0.47,0.5,0.0,70,69.0,170.0,-1.0,Welterweight
Andrew Craig,Orthodox,1986-01-15,9,4,0,2.39,0.4,3.01,0.5,0.53,0.37,0.72,0.0,73,76.0,170.0,3.0,Welterweight
Paul Craig,Orthodox,1987-11-27,17,10,1,2.5,0.45,3.04,0.43,1.43,0.18,0.35,1.3,75,76.0,205.0,1.0,Light Heavyweight
Tim Credeur,Orthodox,1977-07-09,12,4,0,3.59,0.3,3.13,0.57,0.41,1.0,0.5,3.3,75,75.0,185.0,0.0,Middleweight
Melissa Croden,Orthodox,1991-04-12,7,3,0,4.1,0.48,1.83,0.53,1.02,0.5,0.66,0.0,69,68.0,135.0,-1.0,Bantamweight
Kevin Croom,Orthodox,1987-07-15,21,15,0,2.65,0.34,3.1,0.41,0.48,0.05,0.3,0.5,71,73.0,135.0,2.0,Bantamweight
Kiefer Crosbie,Switch,1990-04-05,10,6,0,4.46,0.64,5.8,0.46,0.0,0.0,0.4,0.0,71,70.0,170.0,-1.0,Welterweight
Ken Cross,Southpaw,1994-10-04,11,3,0,2.2,0.57,1.4,0.55,1.0,0.12,0.66,0.0,72,72.0,155.0,0.0,Lightweight
Allen Crowder,Orthodox,1989-11-08,10,4,0,2.95,0.51,2.95,0.56,1.85,0.33,1.0,1.2,75,76.0,245.0,1.0,Heavyweight
Daron Cruickshank,Switch,1985-06-11,18,10,0,2.88,0.38,2.98,0.57,2.04,0.41,0.6,0.2,68,72.0,155.0,4.0,Lightweight
Jimmy Crute,Orthodox,1996-03-04,14,4,2,4.15,0.52,3.65,0.42,4.39,0.52,0.58,2.0,74,74.0,205.0,0.0,Light Heavyweight
Dominick Cruz,Orthodox,1985-03-09,24,4,0,3.91,0.33,2.61,0.7,2.82,0.42,0.83,0.1,68,68.0,135.0,0.0,Bantamweight
Aalon Cruz,Switch,1989-09-20,8,4,0,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,72,78.0,145.0,6.0,Featherweight
Timmy Cuamba,Orthodox,1999-02-08,10,3,0,2.77,0.44,3.58,0.57,1.31,0.31,0.72,0.0,69,71.0,135.0,2.0,Bantamweight
Josh Culibao,Orthodox,1994-05-24,11,4,1,3.41,0.44,3.04,0.59,0.0,0.0,0.65,0.3,70,73.0,145.0,3.0,Featherweight
Zak Cummings,Southpaw,1984-08-02,25,7,0,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,72,75.0,205.0,3.0,Light Heavyweight
Patrick Cummins,Orthodox,1980-11-16,10,7,0,4.26,0.5,3.35,0.55,4.49,0.41,0.28,0.1,74,76.0,205.0,2.0,Light Heavyweight
Luke Cummo,Orthodox,1980-04-27,6,6,0,1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4,72,74.0,170.0,2.0,Welterweight
Hugo Cunha,Orthodox,1993-02-04,8,2,0,0.6,0.3,3.01,0.34,0.0,0.0,0.0,0.0,75,79.0,263.0,4.0,Heavyweight
Alton Cunningham,Orthodox,1993-06-24,4,2,0,3.33,0.75,4.94,0.2,1.67,0.1,1.0,0.0,74,77.0,205.0,3.0,Light Heavyweight
AJ Cunningham,Orthodox,1994-09-07,11,5,0,4.22,0.29,6.31,0.48,0.0,0.0,0.46,0.5,70,71.0,135.0,1.0,Bantamweight
Tommy Cuozzi Jr.,Orthodox,1999-08-31,8,1,0,2.43,0.17,14.22,0.34,0.0,0.0,0.0,0.0,69,71.0,145.0,2.0,Featherweight
Santo Curatolo,Southpaw,1995-01-18,6,2,0,1.4,0.39,6.07,0.34,2.0,0.33,1.0,0.0,63,62.0,125.0,-1.0,Flyweight
Jeff Curran,Orthodox,1977-09-02,36,18,1,1.54,0.31,2.48,0.6,0.35,0.12,0.35,1.2,66,69.0,135.0,3.0,Bantamweight
Kailin Curran,Orthodox,1991-04-11,4,5,0,3.89,0.43,4.75,0.53,2.0,0.57,0.61,0.6,64,65.0,115.0,1.0,Flyweight
Will Currie,Switch,1998-11-12,12,4,0,2.73,0.47,5.67,0.44,2.0,0.13,0.5,0.0,75,76.0,185.0,1.0,Middleweight
Chris Curtis,Orthodox,1987-07-15,32,12,0,5.98,0.5,6.19,0.54,0.0,0.0,0.82,0.0,70,75.0,170.0,5.0,Welterweight
Ion Cutelaba,Southpaw,1993-12-14,19,11,1,4.26,0.43,3.34,0.47,3.77,0.49,0.75,0.1,73,75.0,205.0,2.0,Light Heavyweight
Henrique da Silva,Orthodox,1989-09-01,14,5,0,3.89,0.6,5.28,0.4,0.25,0.14,0.22,0.2,75,76.0,205.0,1.0,Light Heavyweight
Ariane da Silva,Orthodox,1994-01-26,17,11,0,4.05,0.41,4.4,0.5,0.47,0.38,0.68,0.3,66,67.0,125.0,1.0,Flyweight
Alex Da Silva,Orthodox,1996-02-04,21,4,0,2.14,0.46,2.52,0.56,1.97,0.43,0.76,0.3,68,73.0,155.0,5.0,Lightweight
Radley Da Silva,Orthodox,1995-06-20,8,1,0,0.27,0.22,0.93,0.48,6.0,1.0,1.0,0.0,69,71.0,145.0,2.0,Featherweight
Deni Daffa,Orthodox,1999-09-08,6,2,0,3.47,0.38,6.45,0.38,0.0,0.0,0.0,0.0,72,74.0,155.0,2.0,Lightweight
Nicolas Dalby,Orthodox,1984-11-16,24,6,1,3.88,0.43,3.51,0.52,0.9,0.26,0.59,0.1,71,74.0,170.0,3.0,Welterweight
Paul Daley,Orthodox,1983-02-21,39,15,2,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0.0,69,76.0,170.0,7.0,Welterweight
Aisling Daly,Orthodox,1987-12-24,16,6,0,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,62,64.0,115.0,2.0,Flyweight
Leonardo Damiani,Orthodox,1990-08-30,10,3,1,1.67,0.23,4.17,0.37,0.0,0.0,0.5,0.0,70,69.0,170.0,-1.0,Welterweight
Rodrigo Damm,Orthodox,1980-02-03,13,9,0,3.5,0.36,5.61,0.57,0.44,0.16,0.8,0.3,67,71.0,155.0,4.0,Lightweight
Batgerel Danaa,Orthodox,1989-07-04,12,5,0,5.38,0.36,4.21,0.47,0.52,0.5,0.62,0.0,67,70.0,135.0,3.0,Bantamweight
Peter Danesoe,Orthodox,2000-09-01,8,4,0,4.99,0.52,6.73,0.38,0.0,0.0,0.62,0.0,69,68.0,135.0,-1.0,Bantamweight
Jarjis Danho,Orthodox,1983-10-15,7,1,1,3.38,0.5,5.25,0.49,0.51,0.16,1.0,0.0,75,74.0,265.0,-1.0,Heavyweight
Jose Daniel Medina,Orthodox,1991-05-17,11,7,0,2.13,0.36,5.34,0.46,0.39,0.33,0.27,0.0,72,74.0,185.0,2.0,Middleweight
Mac Danzig,Orthodox,1980-01-02,21,12,1,3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6,68,70.0,155.0,2.0,Lightweight
Karen Darabedyan,Orthodox,1986-12-18,13,6,0,3.43,0.51,2.62,0.67,2.14,0.75,0.0,0.0,67,68.0,155.0,1.0,Lightweight
Beneil Dariush,Southpaw,1989-05-06,23,7,1,3.78,0.49,2.62,0.57,2.11,0.38,0.82,0.8,70,72.0,155.0,2.0,Lightweight
Kyle Daukaus,Southpaw,1993-02-27,17,4,0,3.32,0.53,2.9,0.42,2.08,0.25,0.82,2.1,74,76.0,185.0,2.0,Middleweight
Chris Daukaus,Orthodox,1989-09-25,12,7,0,6.05,0.5,4.64,0.55,0.0,0.0,1.0,0.0,75,76.0,205.0,1.0,Light Heavyweight
Marcus Davis,Southpaw,1973-08-24,22,11,0,2.72,0.39,2.79,0.65,1.6,0.48,0.47,1.4,70,70.0,170.0,0.0,Welterweight
LC Davis,Southpaw,1980-10-28,23,8,0,2.04,0.3,2.1,0.59,2.27,0.46,0.66,0.2,68,69.0,135.0,1.0,Bantamweight
Phil Davis,Orthodox,1984-09-25,17,4,0,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6,74,79.0,205.0,5.0,Light Heavyweight
Alexis Davis,Orthodox,1984-10-04,21,11,0,4.63,0.49,4.45,0.54,0.95,0.44,0.34,0.7,66,68.0,135.0,2.0,Bantamweight
Brandon Davis,Orthodox,1990-05-08,14,10,0,4.68,0.35,4.62,0.58,0.74,0.42,0.57,0.1,70,72.0,135.0,2.0,Bantamweight
Mike Davis,Orthodox,1992-10-07,12,3,0,4.73,0.53,5.23,0.54,2.4,0.44,0.6,0.8,72,72.0,155.0,0.0,Lightweight
Hakeem Dawodu,Orthodox,1991-07-02,13,4,1,5.45,0.5,3.37,0.56,0.0,0.0,0.65,0.0,68,73.0,145.0,5.0,Featherweight
Grant Dawson,Switch,1994-02-20,23,3,1,3.21,0.52,2.13,0.44,3.81,0.39,0.57,1.1,70,72.0,155.0,2.0,Lightweight
Jason Day,Orthodox,1981-05-19,19,12,0,3.61,0.54,3.46,0.47,1.13,1.0,0.0,0.0,72,72.0,185.0,0.0,Middleweight
Martin Day,Orthodox,1988-11-10,8,6,0,3.97,0.45,3.79,0.53,0.72,0.6,0.65,0.5,70,73.0,145.0,3.0,Featherweight
Yorgan De Castro,Orthodox,1986-12-19,6,3,0,2.46,0.43,3.85,0.53,0.0,0.0,0.77,0.0,72,74.0,250.0,2.0,Heavyweight
Geraldo de Freitas,Orthodox,1991-09-30,12,6,0,3.67,0.52,2.62,0.5,3.0,0.45,0.59,0.0,67,72.0,135.0,5.0,Bantamweight
Philip De Fries,Orthodox,1986-04-21,12,6,0,2.3,0.47,3.0,0.37,3.29,0.42,1.0,0.6,77,79.0,250.0,2.0,Heavyweight
Chris de la Rocha,Orthodox,1979-05-15,5,3,0,4.08,0.45,6.37,0.43,2.02,0.3,0.33,1.0,75,80.0,250.0,5.0,Heavyweight
Montana De La Rosa,Orthodox,1995-02-14,13,9,1,2.9,0.37,3.39,0.45,1.85,0.33,0.68,0.8,67,68.0,125.0,1.0,Flyweight
Mark De La Rosa,Orthodox,1994-08-31,11,5,0,3.13,0.35,5.0,0.48,0.54,0.13,0.4,0.2,66,65.0,135.0,-1.0,Bantamweight
Mike de la Torre,Orthodox,1986-09-22,14,7,0,3.21,0.39,4.75,0.51,0.36,0.16,0.83,0.0,71,71.0,145.0,0.0,Featherweight
Jair De Oliveira,Orthodox,1996-05-09,6,1,0,3.98,0.6,3.45,0.69,0.0,0.0,0.0,0.0,69,69.0,205.0,0.0,Light Heavyweight
Isabela de Padua,Orthodox,1991-09-04,5,2,0,1.0,0.35,2.07,0.5,2.0,0.66,0.0,1.0,63,64.0,125.0,1.0,Flyweight
Gloria de Paula,Orthodox,1995-06-10,6,5,0,4.89,0.53,3.77,0.66,0.74,0.37,0.65,0.5,65,67.0,115.0,2.0,Flyweight
Germaine de Randamie,Orthodox,1984-04-24,10,5,0,2.57,0.46,2.0,0.65,0.0,0.0,0.65,0.4,69,71.0,135.0,2.0,Bantamweight
Reinier de Ridder,Southpaw,1990-09-07,21,4,0,2.47,0.48,2.36,0.46,2.56,0.29,0.4,0.6,76,78.0,185.0,2.0,Middleweight
Carl Deaton,Orthodox,1989-11-24,17,7,0,1.53,0.31,1.85,0.61,0.0,0.0,0.5,0.0,67,69.0,155.0,2.0,Lightweight
Wallen Del Rosario,Orthodox,1993-03-18,8,2,0,1.4,0.32,4.73,0.4,1.0,0.16,1.0,0.0,64,67.0,125.0,3.0,Flyweight
Yadier del Valle,Southpaw,1996-07-29,10,1,0,4.05,0.6,2.16,0.55,1.23,0.42,0.58,2.0,69,69.0,145.0,0.0,Featherweight
Jose Delano,Orthodox,1996-09-11,16,3,0,9.73,0.65,2.53,0.72,0.0,0.0,0.6,0.0,68,70.0,145.0,2.0,Featherweight
Rolando Delgado,Orthodox,1981-11-22,11,6,1,1.56,0.4,1.83,0.62,1.17,0.22,0.0,3.5,75,77.0,155.0,2.0,Lightweight
Jose Delgado,Switch,1998-04-21,10,2,0,8.22,0.54,5.44,0.47,1.81,0.42,0.6,0.0,71,74.0,145.0,3.0,Featherweight
Ante Delija,Orthodox,1990-08-07,26,8,0,4.28,0.38,3.95,0.52,0.0,0.0,0.75,0.0,75,78.0,239.0,3.0,Heavyweight
Jack Della Maddalena,Switch,1996-09-10,18,3,0,5.57,0.51,3.84,0.63,0.13,0.1,0.64,0.1,71,73.0,170.0,2.0,Welterweight
Roland Delorme,Orthodox,1983-12-18,9,5,0,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6,69,71.0,135.0,2.0,Bantamweight
Jon Delos Reyes,Orthodox,1987-08-19,8,5,0,2.99,0.38,4.14,0.51,3.2,0.83,0.55,1.9,66,67.0,125.0,1.0,Flyweight
Vanessa Demopoulos,Orthodox,1988-09-22,11,8,0,3.37,0.39,5.39,0.41,0.32,0.09,0.26,0.4,62,59.0,125.0,-3.0,Flyweight
Chris Dempsey,Orthodox,1987-09-08,11,5,0,2.25,0.32,2.82,0.65,2.64,0.23,0.16,0.0,70,72.0,185.0,2.0,Middleweight
Jason Dent,Orthodox,1980-06-12,22,13,0,2.01,0.39,3.7,0.62,0.0,0.0,0.26,1.4,70,71.0,155.0,1.0,Lightweight
Mackenzie Dern,Orthodox,1993-03-24,16,5,0,3.47,0.41,3.93,0.51,0.93,0.18,0.37,1.1,64,63.0,115.0,-1.0,Flyweight
Tony DeSouza,Southpaw,1974-07-26,11,4,0,1.12,0.52,1.57,0.41,2.25,0.42,0.4,1.5,72,70.0,170.0,-2.0,Welterweight
Robelis Despaigne,Orthodox,1988-09-09,5,2,0,2.11,0.59,2.54,0.46,0.0,0.0,0.5,0.0,79,84.0,265.0,5.0,Heavyweight
Alessio Di Chirico,Orthodox,1989-12-12,13,7,0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,72,74.0,185.0,2.0,Middleweight
Micol Di Segni,Orthodox,1987-12-29,7,3,0,7.47,0.4,5.87,0.33,0.0,0.0,0.37,0.0,63,60.0,115.0,-3.0,Flyweight
Cyrille Diabate,Southpaw,1973-10-06,19,10,1,4.06,0.71,1.78,0.6,1.17,0.83,0.53,0.2,78,81.0,205.0,3.0,Light Heavyweight
Marc Diakiese,Orthodox,1993-03-16,17,7,0,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0.0,70,73.0,155.0,3.0,Lightweight
Tyler Diamond,Orthodox,1991-03-18,9,1,0,3.4,0.47,2.53,0.44,3.0,0.75,0.7,0.0,67,69.0,145.0,2.0,Featherweight
Blood Diamond,Switch,1988-07-10,3,3,0,3.12,0.55,2.17,0.48,0.0,0.0,0.73,0.0,71,76.0,170.0,5.0,Welterweight
Hacran Dias,Orthodox,1984-06-16,23,6,1,2.08,0.41,3.31,0.55,2.5,0.39,0.76,0.5,68,69.0,155.0,1.0,Lightweight
Victor Dias,Orthodox,1990-12-26,11,3,0,2.87,0.44,5.8,0.55,5.0,0.41,0.0,0.0,66,69.0,125.0,3.0,Flyweight
Luis Felipe Dias,Orthodox,1995-01-17,17,5,0,1.77,0.38,2.7,0.52,6.24,0.57,0.66,1.6,70,74.0,185.0,4.0,Middleweight
Magno Dias,Orthodox,1995-11-30,6,2,0,2.44,0.45,7.32,0.5,1.41,0.33,0.0,1.4,65,67.0,135.0,2.0,Bantamweight
Nick Diaz,Southpaw,1983-08-02,26,10,0,5.71,0.42,3.84,0.59,1.28,0.32,0.6,1.0,73,76.0,170.0,3.0,Welterweight
Nate Diaz,Southpaw,1985-04-16,22,13,0,4.57,0.45,3.77,0.52,1.05,0.3,0.41,1.3,72,76.0,170.0,4.0,Welterweight
Ozzy Diaz,Orthodox,1990-11-22,10,3,0,6.44,0.5,7.23,0.59,0.0,0.0,0.5,0.0,76,79.0,185.0,3.0,Middleweight
Juan Diaz,Orthodox,1998-06-03,15,1,1,5.82,0.39,5.02,0.6,3.01,0.33,0.0,0.0,68,69.0,135.0,1.0,Bantamweight
Seth Dikun,Orthodox,1980-08-05,9,8,0,1.45,0.26,2.18,0.55,0.0,0.0,0.45,0.9,70,69.0,135.0,-1.0,Bantamweight
TJ Dillashaw,Orthodox,1986-02-07,18,5,0,5.09,0.41,3.47,0.62,1.56,0.3,0.77,0.8,66,67.0,135.0,1.0,Bantamweight
Ding Meng,Orthodox,1994-09-27,34,9,0,3.4,0.5,3.87,0.48,1.0,0.5,0.0,0.0,74,73.0,170.0,-1.0,Welterweight
Jhonata Diniz,Orthodox,1991-06-23,9,2,0,3.89,0.56,3.62,0.56,0.0,0.0,0.7,0.0,76,79.0,254.0,3.0,Heavyweight
Matt Dixon,Switch,1995-10-09,9,1,0,1.97,0.43,4.56,0.37,3.06,0.3,0.0,0.0,70,75.0,170.0,5.0,Welterweight
Russell Doane,Orthodox,1986-08-13,15,8,0,1.75,0.4,1.68,0.53,2.11,0.45,0.52,0.8,67,70.0,135.0,3.0,Bantamweight
Drew Dober,Southpaw,1988-10-19,29,15,0,4.48,0.41,4.33,0.53,0.61,0.16,0.58,0.1,68,70.0,155.0,2.0,Lightweight
Shana Dobson,Orthodox,1989-03-30,4,5,0,3.34,0.37,5.2,0.5,0.84,0.5,0.14,0.0,66,69.0,125.0,3.0,Flyweight
AJ Dobson,Orthodox,1992-01-18,7,3,0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,73,76.0,185.0,3.0,Middleweight
John Dodson,Orthodox,1984-09-26,22,12,0,3.2,0.4,3.58,0.61,0.71,0.28,0.82,0.0,63,66.0,135.0,3.0,Bantamweight
Joe Doerksen,Orthodox,1977-10-09,51,16,0,1.43,0.42,2.79,0.5,2.02,0.33,0.33,2.3,72,75.0,185.0,3.0,Middleweight
Roman Dolidze,Orthodox,1988-07-15,15,4,0,3.41,0.41,3.72,0.48,0.99,0.39,0.26,0.8,74,76.0,185.0,2.0,Middleweight
CB Dollaway,Orthodox,1983-08-10,17,9,0,2.65,0.47,2.58,0.54,3.55,0.54,0.62,1.2,74,76.0,185.0,2.0,Middleweight
Daniil Donchenko,Orthodox,2001-08-04,14,2,0,7.15,0.6,2.57,0.72,0.77,0.33,0.75,0.0,71,71.0,170.0,0.0,Welterweight
Dong Huaxiang,Switch,1998-08-21,12,3,0,3.5,0.59,3.13,0.65,4.0,0.44,1.0,0.0,63,61.0,115.0,-2.0,Flyweight
Cody Donovan,Orthodox,1981-02-20,8,5,0,5.61,0.59,5.44,0.45,1.67,0.28,0.0,1.7,75,74.0,205.0,-1.0,Light Heavyweight
Rafael Dos Anjos,Southpaw,1984-10-26,32,17,0,3.48,0.47,3.23,0.6,1.95,0.35,0.54,0.6,68,70.0,170.0,2.0,Welterweight
Junior Dos Santos,Orthodox,1984-01-30,21,9,0,4.49,0.47,3.33,0.56,0.3,0.5,0.81,0.1,76,77.0,238.0,1.0,Heavyweight
Anderson Dos Santos,Orthodox,1985-07-24,21,9,0,2.7,0.25,5.37,0.49,0.98,0.14,0.66,0.7,65,70.0,135.0,5.0,Bantamweight
Acacio Dos Santos,Orthodox,1991-09-29,14,5,0,1.27,0.41,1.4,0.43,0.0,0.0,0.31,0.0,76,79.0,205.0,3.0,Light Heavyweight
Rayanne dos Santos,Orthodox,1995-06-08,14,9,0,4.57,0.4,6.47,0.59,0.5,0.14,0.8,0.0,62,62.0,115.0,0.0,Flyweight
Felipe dos Santos,Orthodox,2000-09-11,8,3,0,3.75,0.39,3.8,0.41,0.0,0.0,0.2,0.5,67,70.0,125.0,3.0,Flyweight
Tiago dos Santos e Silva,Orthodox,1987-04-12,20,7,2,3.69,0.35,4.23,0.59,0.63,0.11,0.33,0.3,69,70.0,145.0,1.0,Featherweight
Lerryan Douglas,Orthodox,1995-04-27,13,5,0,11.67,0.87,5.0,0.66,0.0,0.0,0.0,0.0,69,72.0,145.0,3.0,Featherweight
Danny Downes,Orthodox,1986-04-08,8,3,0,1.66,0.34,3.53,0.37,0.0,0.0,0.37,0.5,72,72.0,155.0,0.0,Lightweight
Jimmy Drago,Orthodox,1995-02-18,7,3,0,3.8,0.29,5.6,0.65,1.0,0.5,0.0,0.0,70,71.0,170.0,1.0,Welterweight
Anthony Drilich,Southpaw,1994-03-17,8,2,0,5.8,0.31,5.07,0.4,0.0,0.0,0.55,0.0,65,65.0,125.0,0.0,Flyweight
Kyle Driscoll,Orthodox,1994-09-23,12,3,0,2.73,0.32,2.6,0.58,2.0,0.18,0.0,0.0,71,74.0,145.0,3.0,Featherweight
Tomasz Drwal,Orthodox,1982-01-22,21,5,1,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4,73,76.0,205.0,3.0,Light Heavyweight
Dricus Du Plessis,Switch,1994-01-14,23,3,0,5.18,0.48,4.33,0.52,2.22,0.51,0.34,0.7,73,76.0,185.0,3.0,Middleweight
Yuneisy Duben,Orthodox,1996-07-08,6,1,0,13.53,0.48,10.75,0.53,0.0,0.0,0.0,0.0,64,65.0,125.0,1.0,Flyweight
Matthieu Duclos,Orthodox,1995-04-04,6,3,0,3.93,0.37,6.81,0.46,0.0,0.0,1.0,0.0,75,77.0,185.0,2.0,Middleweight
Emily Ducote,Orthodox,1994-01-01,13,9,0,7.45,0.52,7.84,0.57,0.2,0.14,0.94,0.0,62,63.0,115.0,1.0,Flyweight
Viktoriia Dudakova,Orthodox,1999-01-26,8,2,0,2.87,0.47,3.4,0.5,2.73,0.35,0.33,0.0,65,67.0,115.0,2.0,Flyweight
Todd Duffee,Orthodox,1985-12-06,9,3,0,5.93,0.37,2.87,0.56,0.72,0.25,0.9,0.0,75,78.0,260.0,3.0,Heavyweight
Joe Duffy,Orthodox,1988-02-18,16,5,0,2.68,0.34,3.78,0.54,0.96,0.66,0.64,0.7,70,73.0,155.0,3.0,Lightweight
Jack Duffy,Switch,1995-10-02,7,1,0,5.07,0.69,2.13,0.52,0.0,0.0,0.62,0.0,67,69.0,125.0,2.0,Flyweight
Jessamyn Duke,Orthodox,1986-06-24,3,5,0,4.83,0.53,4.43,0.57,1.27,0.36,0.5,1.9,71,73.0,135.0,2.0,Bantamweight
Islam Dulatov,Orthodox,1998-08-02,12,1,0,8.78,0.54,4.24,0.5,2.2,1.0,1.0,0.0,75,75.0,170.0,0.0,Welterweight
Isaac Dulgarian,Orthodox,1996-07-04,7,2,0,2.99,0.63,1.65,0.4,4.57,0.5,0.0,1.8,67,71.0,145.0,4.0,Featherweight
Sedriques Dumas,Orthodox,1995-08-06,10,4,0,2.0,0.44,2.41,0.55,1.34,0.31,0.33,0.2,74,79.0,185.0,5.0,Middleweight
Norma Dumont,Orthodox,1990-10-01,13,2,0,3.89,0.5,2.12,0.65,1.56,0.56,0.68,0.0,67,67.0,135.0,0.0,Bantamweight
Chris Duncan,Orthodox,1993-05-10,15,2,0,5.02,0.46,4.82,0.51,3.27,0.42,0.5,0.7,70,71.0,155.0,1.0,Lightweight
Christian Leroy Duncan,Switch,1995-07-24,13,2,0,4.6,0.58,2.97,0.51,0.4,0.2,0.69,0.0,74,79.0,185.0,5.0,Middleweight
Evan Dunham,Southpaw,1981-12-18,18,9,1,5.33,0.39,3.54,0.61,1.82,0.33,0.79,1.0,70,70.0,155.0,0.0,Lightweight
Tom Duquesnoy,Orthodox,1993-06-21,16,2,0,3.83,0.45,5.3,0.62,0.42,0.25,0.46,0.0,67,68.0,135.0,1.0,Bantamweight
Albert Duraev,Orthodox,1989-01-05,16,5,0,2.99,0.4,3.01,0.59,1.97,0.29,0.66,0.6,71,75.0,185.0,4.0,Middleweight
